title,location,precio,basic_features,extra_features
Piso en venta en avenida Alfonso El Sabio,Centro Tradicional,300000,"['120 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en plaza de los Luceros,Centro Tradicional,645000,"['180 m² construidos, 168 m² útiles', '3 habitaciones', '3 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1960', 'Calefacción individual: Bomba de frío/calor', 'Planta 8ª', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en avenida del Doctor Gadea,Centro Tradicional,413000,"['171 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/para reformar', 'Armarios empotrados', 'Construido en 1982', 'No dispone de calefacción', 'Planta 4ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Ático en venta en calle Ángel Lozano,Centro Tradicional,395000,"['135 m² construidos, 115 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 9ª exterior', 'Con ascensor']",['En trámite']
Ático en venta en calle Ángel Lozano,Centro Tradicional,330000,"['155 m² construidos, 115 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 2003', 'No dispone de calefacción', 'Planta 6ª exterior', 'Con ascensor']","['Consumo: \n140,38 kWh/m² año', 'Emisiones: \n28,34 kg CO2/m² año']"
Casa o chalet independiente en venta en Urbanizaciones,Llíria,125000,"['Casa o chalet independiente', '2 plantas', '117 m² construidos, 109 m² útiles', '4 habitaciones', '1 baño', 'Parcela de 720 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, sur', 'Construido en 1982', 'Calefacción individual']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n113 kWh/m² año', 'Emisiones: \n51 kg CO2/m² año']"
Piso en venta en calle Periodista Pirula Arderius,Centro Tradicional,245000,"['95 m² construidos, 92 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Planta 8ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Centro Tradicional,Centro,250000,"['198 m² construidos, 170 m² útiles', '5 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1960', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Castaños,Centro Tradicional,150000,"['33 m² construidos', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1992', 'Calefacción individual: Eléctrica', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Entreplanta interior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en calle Ángel Lozano,Centro Tradicional,499000,"['155 m² construidos', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
